loss,accuracy,AUC,Precision,Recall,f1_score,img_size,colour_mode,augment,batch_size,epochs,filter,dropout,duration
0.31,0.867,0.94,0.918,0.864,0.769,150.0,rgb,False,16.0,5.0,7.0,0.2,73.626
0.668,0.704,0.744,0.689,0.956,0.769,300.0,grayscale,True,16.0,5.0,7.0,0.2,300.879
0.775,0.691,0.711,0.69,0.918,0.769,300.0,grayscale,False,16.0,5.0,7.0,0.2,300.654
0.488,0.774,0.868,0.781,0.887,0.769,300.0,rgb,True,16.0,5.0,7.0,0.2,327.436
0.592,0.771,0.857,0.756,0.936,0.769,300.0,rgb,False,16.0,5.0,7.0,0.2,327.051
0.68,0.646,0.74,0.64,0.99,0.769,150.0,grayscale,True,16.0,5.0,7.0,0.5,65.569
0.711,0.625,0.717,0.626,0.995,0.769,150.0,grayscale,False,16.0,5.0,7.0,0.5,65.906
0.895,0.627,0.846,0.626,1.0,0.769,150.0,rgb,True,16.0,5.0,7.0,0.5,73.547
0.851,0.649,0.802,0.64,1.0,0.769,150.0,rgb,False,16.0,5.0,7.0,0.5,73.627
0.591,0.625,0.786,0.625,1.0,0.769,300.0,grayscale,True,16.0,5.0,7.0,0.5,300.412
0.59,0.755,0.807,0.752,0.908,0.769,300.0,grayscale,False,16.0,5.0,7.0,0.5,300.623
0.643,0.639,0.706,0.643,0.951,0.769,300.0,rgb,True,16.0,5.0,7.0,0.5,326.682
0.677,0.67,0.697,0.694,0.844,0.769,300.0,rgb,False,16.0,5.0,7.0,0.5,326.446
0.468,0.758,0.915,0.724,0.99,0.769,150.0,grayscale,True,32.0,5.0,3.0,0.2,61.531
0.487,0.776,0.858,0.751,0.959,0.769,150.0,grayscale,False,32.0,5.0,3.0,0.2,61.296
0.505,0.75,0.889,0.718,0.987,0.769,150.0,rgb,True,32.0,5.0,3.0,0.2,72.252
0.368,0.857,0.925,0.917,0.849,0.769,150.0,rgb,False,32.0,5.0,3.0,0.2,72.228
0.62,0.731,0.933,0.701,0.992,0.769,300.0,grayscale,True,32.0,5.0,3.0,0.2,256.509
0.618,0.721,0.733,0.721,0.903,0.769,300.0,grayscale,False,32.0,5.0,3.0,0.2,256.318
0.575,0.721,0.797,0.714,0.923,0.769,300.0,rgb,True,32.0,5.0,3.0,0.2,291.37
0.545,0.787,0.833,0.769,0.941,0.769,300.0,rgb,False,32.0,5.0,3.0,0.2,290.799
0.596,0.732,0.809,0.753,0.851,0.769,150.0,grayscale,True,32.0,5.0,3.0,0.5,63.852
0.616,0.691,0.721,0.68,0.954,0.769,150.0,grayscale,False,32.0,5.0,3.0,0.5,61.885
0.645,0.652,0.842,0.958,0.464,0.769,150.0,rgb,True,32.0,5.0,3.0,0.5,72.434
0.629,0.627,0.772,0.626,0.997,0.769,150.0,rgb,False,32.0,5.0,3.0,0.5,72.242
0.598,0.665,0.78,0.654,0.985,0.769,300.0,grayscale,True,32.0,5.0,3.0,0.5,256.062
0.604,0.644,0.787,0.639,0.992,0.769,300.0,grayscale,False,32.0,5.0,3.0,0.5,256.088
0.674,0.679,0.719,0.791,0.662,0.769,300.0,rgb,True,32.0,5.0,3.0,0.5,290.939
0.682,0.679,0.653,0.71,0.823,0.769,300.0,rgb,False,32.0,5.0,3.0,0.5,291.05
0.342,0.877,0.936,0.894,0.91,0.769,150.0,grayscale,True,32.0,5.0,7.0,0.2,57.892
0.442,0.772,0.913,0.742,0.974,0.769,150.0,grayscale,False,32.0,5.0,7.0,0.2,57.745
